#task_id,task_type,worker_rank,timeout,overhead,inv,max,level,outcome,rc_num,rc_str,tot_msec_solv,tot_msec_task
6b41461c-349e-4266-8485-3d6088b3b62a,cnf,52,20.0,0.048844552000048225,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,24,59
dc29f330-6e56-47ea-ab3f-5cb6631f4780,cnf,53,20.0,0.04959256199998663,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,25,60
927d3cd4-1f08-4b30-8728-c3370aa2ddba,cnf,54,20.0,0.04827464200002396,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,58
ba2ee268-5408-47c9-89af-f22659263a8c,cnf,55,20.0,0.04871446299995341,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
bcefa3a3-2f23-452c-bf95-94b5824113d4,cnf,56,20.0,0.048311183000009805,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
0ffd88ab-b62b-4d67-832a-088c562e8882,cnf,57,20.0,0.04801779199999601,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,58
aa75a96a-741a-42e9-9ee8-b4377f47e06c,cnf,58,20.0,0.04860495200000514,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
e51d26eb-0271-48da-9cb5-59463ed270fe,cnf,59,20.0,0.048692732000006345,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,59
69d8feda-fa54-415b-b06e-46ffa2ea69e5,cnf,60,20.0,0.04882578299998386,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
3533a54c-6b05-468f-8df6-aed3b50ba820,cnf,61,20.0,0.04954798200003552,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,60
455c7160-1217-4cdc-99b1-2a19fd0a8203,cnf,62,20.0,0.04854892200000904,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
63976fdd-4dbd-4e1f-9ed9-8f0a751cf0e3,cnf,63,20.0,0.04962858200002529,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
8644217c-48a3-4bd7-ac29-38fe42fe0dec,cnf,64,20.0,0.04887340300001597,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,17,59
f137b2d2-b73d-423b-b6a3-1529281817ed,cnf,65,20.0,0.0500119330000075,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,60
f7753f32-f803-41c4-ab0c-34e588070bf6,cnf,66,20.0,0.049379031999990275,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
e5bbe606-e6e9-4492-94eb-47338b30e81e,cnf,67,20.0,0.0487088219999805,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
607c4364-9992-45f5-98af-5403c28f8cf9,cnf,68,20.0,0.0491488419999655,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
636a9fa3-6820-49af-a24c-8518337bf20b,cnf,69,20.0,0.04856550300002027,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
d3556195-e5ea-49a3-9f5e-6add598d8622,cnf,70,20.0,0.04839902300000176,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
21319ae1-8350-4aac-9c60-c1f631e99e81,cnf,71,20.0,0.047976841999968656,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,58
be2e9cac-8f11-46b4-81c5-06a097b042e6,cnf,72,20.0,0.049657502000002296,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
414c3ab0-b5a2-4c4f-94e6-e9c846a780df,cnf,73,20.0,0.049193892000005235,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
0c394b73-ffaa-4223-b6e8-4f6cf059c444,cnf,74,20.0,0.048287282000046616,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
e134d687-7186-4637-b9b7-aeb4ce27f552,cnf,75,20.0,0.04876049299997476,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
e5b0bd92-ee27-4a14-97fc-3c7cfc7ab775,cnf,76,20.0,0.04837503200002402,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,17,59
517a7c65-d1e0-4494-a408-f97efc31fb01,cnf,77,20.0,0.04854313200002025,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
2a5398e7-a982-4fed-aff4-3bb6ebc184ca,cnf,78,20.0,0.04928802300003099,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
12f1c77e-ce1c-4235-a4ec-33201fc4ad1a,cnf,79,20.0,0.0482546819999925,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
66b8b5ce-17f9-43a1-b439-388c910a4815,cnf,80,20.0,0.04878927199996497,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,24,59
a964ab2b-cb3a-4b10-933d-18b976668675,cnf,81,20.0,0.04861474200004068,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
98d20b43-245c-4098-8e28-a9d76e107c24,cnf,82,20.0,0.051478753000026245,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,62
62b1126b-1dfe-4ed0-b3a8-6f19fb3a4d89,cnf,83,20.0,0.04871862199996713,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,24,59
9cce982d-feeb-440d-99c3-9f9958c076de,cnf,84,20.0,0.054305363000025864,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,29,65
915ca35d-c6fd-4ed5-9c58-94b57f1b49f2,cnf,85,20.0,0.04888927199999671,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
de7fb38e-ceac-4f5d-b03c-f43bd104ac9e,cnf,86,20.0,0.04899935200000982,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
68afff74-242a-4161-9f51-209661584564,cnf,87,20.0,0.049715033000040876,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
87a5e3a4-fa41-4900-9d50-5077d8ec62eb,cnf,88,20.0,0.049085743000034654,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
18225688-b6fd-4e4f-8ad6-ebed5545cbe0,cnf,89,20.0,0.04967474299996866,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
87597805-ef99-4178-93b6-e55f727f20d1,cnf,90,20.0,0.049546272000043245,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
b81bddb8-8945-4293-b290-93d4359488a7,cnf,91,20.0,0.048488472000030924,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
d0183aad-fa9f-44e0-969d-2586de128089,cnf,92,20.0,0.0594140019999827,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,18,70
0b69c897-0e4c-4f11-9cf5-96a5ddcdeffb,cnf,93,20.0,0.051193193000017345,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,61
12743967-da63-4830-9397-6b150f285c55,cnf,94,20.0,0.061633042999972076,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,18,72
05d2a1dc-b85b-4f88-b12d-a03c03aaf029,cnf,95,20.0,0.04947723300000462,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,60
f392fbe7-6621-4071-96e0-5ca73b90ac11,cnf,96,20.0,0.055786463000004005,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,25,66
21587b03-7729-48ec-9fcd-f5746b77b6fb,cnf,97,20.0,0.04943691199997602,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,60
cad76d71-5d64-4903-a6d4-d95318b27e3e,cnf,98,20.0,0.04870109199998751,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,59
d7ee0cf4-8361-45ae-8414-cc074ce19415,cnf,99,20.0,0.04904230300002155,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,59
3dc7975a-78a8-46d6-ab6d-02c7aadc1036,cnf,100,20.0,0.04892757300001449,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
a51ca39b-143b-4186-b4f9-0b46daa6e027,cnf,101,20.0,0.04869021199999679,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,17,59
60a00b2b-146a-43e2-9c82-2df316c36c58,cnf,102,20.0,0.04968775300000061,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
abe68534-ac06-4966-bb5b-38f7b8547abe,cnf,103,20.0,0.048266212000044106,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,58
5ab01405-cd48-4b25-9ea6-ce79c94113ba,cnf,104,20.0,0.04978625199998987,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
9c46075d-a62a-45f6-867c-12d95b5d7a99,cnf,105,20.0,0.04867167200001177,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,18,59
b500cef7-b4f6-47e5-bcc8-056c2d0a8aee,cnf,106,20.0,0.049924751999981254,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,60
e1daeefd-ff7e-4bc9-b1a8-191333f1209c,cnf,107,20.0,0.049044753000032415,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
95f401fa-dd17-4f49-8aa1-0dbafa3617db,cnf,108,20.0,0.04906426200000169,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
bf8ae609-6da6-45a8-b284-2e03ce8b0daf,cnf,109,20.0,0.04890938199997663,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
ae815ef8-1177-4760-b813-b2acd6a9e44f,cnf,110,20.0,0.05280806199999688,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,26,63
1dacef09-3549-44e8-bacc-359ddc4cb9b7,cnf,111,20.0,0.048918383000000176,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,59
9daefcbf-e9cd-4a6b-94ec-619dfae8f38e,cnf,112,20.0,0.04879251199997725,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,24,59
7fb85f51-d330-49e1-8909-a536558bc247,cnf,113,20.0,0.04935488300003499,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
853ccc3d-5260-4c96-b916-ba31239fdcc8,cnf,114,20.0,0.04950751199999104,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,60
1a3b9fd6-e81e-49bd-ae4a-12d2c9e50fca,cnf,115,20.0,0.04924869299998136,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
a03e76f2-1449-4b78-854a-a6679a047335,cnf,116,20.0,0.050132593000000725,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
24e3b442-a1b4-4e55-a68c-bbedd305e98d,cnf,117,20.0,0.04909672200000159,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
5cb65dbc-ce72-4a41-adf5-c222ba5505a7,cnf,118,20.0,0.04971116200005099,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,60
242ad2e3-d189-43d9-bafe-5ad5cd859cb2,cnf,119,20.0,0.049690042000008816,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,60
db8472f2-219c-497d-b6d0-8532a3afe802,cnf,120,20.0,0.04884290299997929,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,59
7aa7d034-3d87-4ad5-877c-7703ebea4217,cnf,121,20.0,0.0484977930000241,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
f031ec72-1aec-48ad-8cb4-8eedbacfc0c7,cnf,122,20.0,0.0486952520000159,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
3a727567-805e-4f7b-ad27-a00c56f646d7,cnf,123,20.0,0.04913606200000231,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
141100f0-c1f7-438a-9c2e-dfd0c6f9fb06,cnf,124,20.0,0.04887492199998178,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
8669ff1a-13c0-4151-b10c-3fb0fee77ac2,cnf,125,20.0,0.04813536199998225,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,17,58
44172545-5834-4adc-bfe1-7859d25e172f,cnf,126,20.0,0.04877939300001799,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,17,59
c043255d-9c4b-4157-85f7-ab1470b67337,cnf,127,20.0,0.05025010200000679,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,61
8afadb03-c5b1-41c1-9bcd-935b82c093db,cnf,1,20.0,0.04919341300001179,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,22,59
6df05140-5a98-42b6-a203-75c6a8af61eb,cnf,2,20.0,0.0483063720000132,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,58
ec887413-d459-4401-8ee7-09b2cb7c4a08,cnf,3,20.0,0.048294112999997196,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,18,58
add57e07-71f8-4a1d-a045-886f68cdf242,cnf,4,20.0,0.0496914830000037,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,60
5bb8946d-992b-41bb-9186-437e1c9de601,cnf,5,20.0,0.048792113000047266,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,59
9e77f99d-fe3c-4880-b2b9-ff3b5c152edb,cnf,6,20.0,0.05006819199996926,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,60
3f33fb69-9aa2-4a40-949e-a8aea878097c,cnf,7,20.0,0.048759703000030186,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,59
66e088e8-353c-4eba-a9c7-77f47e7fbee2,cnf,8,20.0,0.048803082999995695,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,23,59
19c4b6d4-8c5c-43d8-8314-dd3d5e48e05a,cnf,9,20.0,0.04817211199997473,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,20,58
e78e0468-d53d-4a93-ac81-3196a9b3fbee,cnf,10,20.0,0.04869107199999689,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,59
9332b0a3-b6bb-4ac3-873c-fbfe0492268f,cnf,11,20.0,0.04826927300001671,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,58
95820682-82a4-4d3b-95c1-8a9a23ecfd49,cnf,12,20.0,0.04998200300002509,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,21,60
87938245-3e29-4228-b0c5-e8ef5c061f10,cnf,13,20.0,0.058397162000005665,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,68
c96aae83-69f5-4843-b9d7-85906a6a6d43,cnf,14,20.0,0.04954844300004879,True,9,1,UNSAT,20,Minisat220_DoneNormally_UNSAT,19,60
